,index,article_title,href,section
13,6,"CaixaBank, Bankia in talks for merger that would create Spain’s biggest lender",/spanish_news/2020-09-04/caixabank-bankia-in-talks-for-merger-that-would-create-spains-biggest-lender.html,thematic-economy-&-business
14,7,"Dutch soccer fans told to pay €1,500 to Roma women they humiliated in Madrid",/spanish_news/2020-09-17/dutch-soccer-fans-told-to-pay-1500-to-roma-women-they-humiliated-in-madrid.html,thematic-spanish-news
15,8,West Nile virus outbreak in southern Spain claims fourth victim,/spanish_news/2020-09-16/west-nile-virus-outbreak-in-southern-spain-claims-fourth-victim.html,thematic-spanish-news
16,9,US demands hinder Spanish probe into alleged CIA ties to security firm that spied on Assange,/spanish_news/2020-09-10/us-demands-hinder-spanish-probe-into-alleged-cia-ties-to-security-firm-that-spied-on-assange.html,thematic-international
17,10,Spain drafts bill against remaining legacy of Franco era,/spanish_news/2020-09-15/spain-drafts-bill-against-remaining-legacy-of-franco-era.html,thematic-politics
18,11,Echoes of Franco as Spain’s far right tells PM his government is ‘worst in 80 years’,/politics/2020-09-10/echoes-of-franco-as-spains-far-right-tells-pm-his-government-is-worst-in-80-years.html,thematic-politics
19,12,"Spain to negotiate travel corridors to its islands with Britain, Germany",/spanish_news/2020-09-09/spain-to-negotiate-travel-corridors-to-its-islands-with-britain-germany.html,thematic-politics
20,13,Spanish spying probe points at top Popular Party ex-officials,/politics/2020-09-08/spanish-spying-probe-points-at-top-popular-party-ex-officials.html,thematic-politics
21,14,Madrid’s Teatro Real forced to cancel performance after audience protests lack of social distancing ,/arts/2020-09-21/madrids-teatro-royal-forced-to-cancel-performance-after-audience-protests-lack-of-social-distancing.html,thematic-culture
22,15,Barcelona’s iconic Sagrada Familia needs ‘miracle’ to meet 2026 completion deadline  ,/spanish_news/2020-09-21/barcelonas-iconic-sagrada-familia-needs-miracle-to-meet-2026-completion-deadline.html,thematic-culture
23,16,The story of Madrid’s abandoned ‘beach’ for its working class,/arts/2020-09-09/the-story-of-madrids-abandoned-beach-for-its-working-class.html,thematic-culture
24,17,Pedro Almodóvar shares preview of new short starring Tilda Swinton,/spanish_news/2020-09-01/pedro-almodovar-shares-preview-of-new-short-starring-tilda-swinton.html,thematic-culture
25,18,The forgers of God ,/eps/2020-08-21/the-forgers-of-god.html,thematic-el-pais-semanal
26,19,Fernando Simón: dissecting the public face of Spain’s coronavirus crisis,/eps/2020-07-10/fernando-simon-dissecting-the-public-face-of-spains-coronavirus-crisis.html,thematic-el-pais-semanal
27,20,La Paz: a Madrid hospital at war against Covid-19,/eps/2020-04-24/la-paz-a-madrid-hospital-at-war-against-covid-19.html,thematic-el-pais-semanal
28,21,Coronavirus: The war of our generation,/eps/2020-04-17/coronavirus-the-war-of-our-generation.html,thematic-el-pais-semanal
29,22,Neurotechnology can already read minds: so how do we protect our thoughts?,/spanish_news/2020-08-24/neurotechnology-can-already-read-brains-so-how-do-we-protect-our-thoughts.html,thematic-science
30,23,The 20 innovations that have changed Spanish football,/sports/2020-07-10/the-20-innovations-that-have-changed-spanish-football.html,thematic-promoted-content
31,24,An analysis of three Covid-19 outbreaks: how they happened and how they can be avoided,/spanish_news/2020-06-17/an-analysis-of-three-covid-19-outbreaks-how-they-happened-and-how-they-can-be-avoided.html,thematic-coronavirus-special-features
32,25,"The real Covid-19 death toll in Spain: at least 44,868 victims",/society/2020-07-31/the-real-covid-19-death-toll-in-spain-at-least-44868.html,thematic-coronavirus-special-features
33,26,The problems Spain’s outdated data methods have caused during a 21st-century pandemic,/society/2020-06-24/the-problems-spains-outdated-data-methods-have-caused-during-a-21st-century-pandemic.html,thematic-coronavirus-special-features
34,27,ccu cgg cgg gca – The 12 letters that changed the world,/science_tech/2020-05-20/ccu-cgg-cgg-gca-the-12-letters-that-changed-the-world.html,thematic-coronavirus-special-features
35,28,Reconnecting with nature: five trails for forest immersion in Spain,/spanish_news/2020-09-07/reconnecting-with-nature-five-trails-for-forest-immersion-in-spain.html,thematic-el-viajero
36,29,What to keep in mind if you are planning a vacation for September,/el_viajero/2020-08-31/what-to-keep-in-mind-if-you-are-planning-a-vacation-for-september.html,thematic-el-viajero
37,30,The Three Amigos,/the_global_observer/2020-07-16/the-three-amigos.html,thematic-the-global-observer
38,31,Four ideas damaged by Covid-19,/the_global_observer/2020-06-30/four-ideas-damaged-by-covid-19.html,thematic-the-global-observer
39,32,"Parking lots, coughing and the pandemic",/the_global_observer/2020-06-16/parking-lots-coughing-and-the-pandemic.html,thematic-the-global-observer
40,33,What else is going on?,/the_global_observer/2020-06-04/what-else-is-going-on.html,thematic-the-global-observer
41,34,A personal blog about a global experience,/trans_iberian/2020-04-12/a-personal-blog-about-a-global-experience.html,thematic-trans-iberian-blog
42,35,EL PAÍS launches new application for cellphones,/elpais/2019/10/29/inenglish/1572365393_263969.html,thematic-the-english-edition
43,36,About the EL PAÍS English Edition,/elpais/2013/04/09/inenglish/1365510477_811322.html,thematic-the-english-edition
44,37,Sign up to the EL PAÍS English Edition newsletter,/elpais/2016/03/10/inenglish/1457615417_695902.html,thematic-the-english-edition
45,38,"‘A third of Spaniards would get vaccinated tomorrow, but another third have serious reservations’",/society/2020-09-22/a-third-of-spaniards-would-get-vaccinated-tomorrow-but-another-third-have-serious-reservations.html,thematic-coronavirus
46,39,"Protestors take to the streets to oppose new selective lockdowns in areas of Madrid, calling for regional premier to quit",/society/2020-09-21/protestors-take-to-the-streets-to-oppose-new-selective-lockdowns-in-areas-of-madrid-calling-for-regional-premier-to-quit.html,thematic-coronavirus
47,40,Police will not issue fines in the first 48 hours of Madrid’s new confinement measures,/society/2020-09-21/police-will-not-issue-fines-in-the-first-48-hours-of-madrids-new-confinement-measures.html,thematic-coronavirus
48,41,Madrid announces new restrictions on mobility to curb spike in Covid-19 cases,/society/2020-09-18/madrid-announces-new-restrictions-on-mobility-to-curb-spike-in-covid-19.html,thematic-coronavirus
49,42,What is a selective lockdown and how does it work?,/society/2020-09-18/what-is-a-selective-lockdown-and-how-does-it-work.html,thematic-coronavirus
50,43,Madrid asks central government for help amid chaotic handling of coronavirus crisis,/society/2020-09-17/madrid-calls-on-central-government-for-help-amid-chaotic-management-of-worsening-coronavirus-situation.html,thematic-coronavirus
51,44,Spain’s civil registries detect 10% excess mortality during second coronavirus wave,/society/2020-09-17/spains-civil-registries-detect-10-excess-mortality-during-second-coronavirus-wave.html,thematic-coronavirus
52,45,The immigrants who built a fruit empire in Spain,/spanish_news/2020-09-18/the-immigrants-who-built-a-fruit-empire-in-spain.html,thematic-features
53,46,How the Spanish Tax Agency followed the trail of Shakira,/economy_and_business/2020-09-04/how-the-spanish-tax-agency-followed-the-trail-of-shakira.html,thematic-features
54,47,¿Qué? S04E10: UK ambassador to Spain Hugh Elliott discusses the coronavirus crisis,/podcasts/que/2020-03-27/que-s04e10-uk-ambassador-to-spain-hugh-elliott-discusses-the-coronavirus-crisis.html,thematic-podcast
55,48,Economic physiotherapy,/opinion/2020-09-14/economic-physiotherapy.html,thematic-opinion
56,49,El Roto,/opinion/2020-09-23/el-roto.html,thematic-opinion
57,50,Rethinking the European spirit,/opinion/2020-09-08/rethinking-the-european-spirit.html,thematic-opinion
